He's Just Not That Into You,"'Comedy,Drama,Romance'",'Ken Kwapis',"'Jennifer Aniston, Jennifer Connelly, Morgan Lily,Trenton Rogers'",2009,129,
Life as We Know It,"'Comedy,Drama,Romance'",'Greg Berlanti',"'Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett'",2010,114,53.36
Love & Other Drugs,"'Comedy,Drama,Romance'",'Edward Zwick',"'Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt'",2010,112,32.36
Sex and the City,"'Comedy,Drama,Romance'",'Michael Patrick King',"'Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis'",2008,145,152.64
Silver Linings Playbook,"'Comedy,Drama,Romance'",'David O. Russell',"'Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver'",2012,122,132.09
The Break-Up,"'Comedy,Drama,Romance'",'Peyton Reed',"'Jennifer Aniston, Vince Vaughn, Jon Favreau, Joey Lauren Adams'",2006,106,118.68
The Proposal,"'Comedy,Drama,Romance'",'Anne Fletcher',"'Sandra Bullock, Ryan Reynolds, Mary Steenburgen,Craig T. Nelson'",2009,108,163.95
The Spectacular Now,"'Comedy,Drama,Romance'",'James Ponsoldt',"'Miles Teller, Shailene Woodley, Kyle Chandler,Jennifer Jason Leigh'",2013,95,6.85
Trainwreck,"'Comedy,Drama,Romance'",'Judd Apatow',"'Amy Schumer, Bill Hader, Brie Larson, Colin Quinn'",2015,125,110.01
What to Expect When You're Expecting,"'Comedy,Drama,Romance'",'Kirk Jones',"'Cameron Diaz, Matthew Morrison, J. Todd Smith, Dennis Quaid'",2012,110,41.1
20th Century Women,"'Comedy,Drama'",'Mike Mills',"'Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup'",2016,119,5.66
Captain Fantastic,"'Comedy,Drama'",'Matt Ross',"'Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso'",2016,118,5.88
Chef,"'Comedy,Drama'",'Jon Favreau',"'Jon Favreau, Robert Downey Jr., Scarlett Johansson,Dustin Hoffman'",2014,114,31.24
Demolition,"'Comedy,Drama'",'Jean-Marc Vallee',"'Jake Gyllenhaal, Naomi Watts, Chris Cooper,Judah Lewis'",2015,101,1.82
Don't Think Twice,"'Comedy,Drama'",'Mike Birbiglia',"'Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia,Chris Gethard'",2016,92,4.42
Juno,"'Comedy,Drama'",'Jason Reitman',"'Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman'",2007,96,143.49
Little Miss Sunshine,"'Comedy,Drama'",'Jonathan Dayton',"'Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin'",2006,101,59.89
Magic Mike,"'Comedy,Drama'",'Steven Soderbergh',"'Channing Tatum, Alex Pettyfer, Olivia Munn,Matthew McConaughey'",2012,110,113.71
The Descendants,"'Comedy,Drama'",'Alexander Payne',"'George Clooney, Shailene Woodley, Amara Miller, Nick Krause'",2011,115,82.62
The Devil Wears Prada,"'Comedy,Drama'",'David Frankel',"'Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt'",2006,109,124.73
The Dressmaker,"'Comedy,Drama'",'Jocelyn Moorhouse',"'Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving'",2015,119,2.02
The Intern,"'Comedy,Drama'",'Nancy Meyers',"'Robert De Niro, Anne Hathaway, Rene Russo,Anders Holm'",2015,121,75.27
Mamma Mia!,"'Comedy,Family,Musical'",'Phyllida Lloyd',"'Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård'",2008,108,143.7
Daddy's Home,"'Comedy,Family'",'Sean Anders',"'Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church'",2015,96,150.32
