Stargate,"'Action,Adventure,Sci-Fi,Fantasy'",Roland Emmerich,"'Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors, Alexis Cruz, Mili Avital, Leon Rippy, John Diehl, Carlos Lauchu, Djimon Hounsou'",1994,121,
The Darkest Hour,"'Action,Adventure,Sci-Fi,Fantasy'",Chris Gorak,"'Emile Hirsch, Olivia Thirlby, Max Minghella, Rachael Taylor, Joel Kinnaman, Veronika Vernadskaya, Dato Bakhtadze, Yuriy Kutsenko'",2011,89,
Time Trap,"'Action,Adventure,Sci-Fi,Fantasy'","Mark Dennis, Ben Foster","'Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich, Max Wright, Hans Marrero, Rich Skidmore, Chris Sturgeon, Gopal Bidari'",2017,88,
Total Recall,"'Action,Adventure,Sci-Fi,Fantasy'",Paul Verhoeven,"'Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside, Ronny Cox, Marshall Bell, Michael Champion, Mel Johnson Jr., Roy Brocksmith, Rosemary Dunsmore'",1990,114,
Total Recall,"'Action,Adventure,Sci-Fi,Fantasy'",Len Wiseman,"'Colin Farrell, Kate Beckinsale, Jessica Biel, Bryan Cranston, Bokeem Woodbine, Bill Nighy'",2014,118,
Real Steel,"'Action,Adventure,Sci-Fi,Fantasy,Sport'",Shawn Levy,"'Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie, Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda, John Gatins'",2011,127,
The Hateful Eight,"'Action,Adventure,Thriller'",Quentin Tarantino,"'Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demián Bichir, Tim Roth, Michael Madsen, Bruce Dern, James Parks, Dana Gourrier, Channing Tatum, Zoë Bell'",2015,168,
Unknown,"'Action,Adventure,Thriller'",Jaume Collet-Serra,"'Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch, Olivier Schneider, Stipe Erceg, Rainer Bock'",2011,113,
Congo,"'Action,Adventure,Thrillers'",Frank Marshall,"'Dylan Walsh, Laura Linney, Ernie Hudson, Tim Curry, Joe Don Baker, Grant Heslov, Adewale Akinnuoye-Agbaje, Mary Ellen Trainor'",1995,108,
Jaws,"'Action,Classic,Drama,Cult'",Steven Spielberg,"'Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman'",1975,124,
Jaws 2,"'Adventure,Drama,Horror,Thriller'",Jeannot Szwarc,"'Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French'",1978,116,
